#AdjRefG: Iteration 21 number of channels 4
# col 1: real part of sumprofile
# col 2: imag part of sumprofile
# col 3 - col 2*nchan+2: real, imag parts of profiles on different channels
   3.994484E+01   -1.123566E+02   -9.358440E+01   -6.135884E+01  -1.274196E+02   -8.710474E+01    5.817908E+01   -8.896413E+01    2.600373E+01   -8.638931E+01   -7.761781E+01    3.280407E+01    8.206827E+01    8.648861E+01   -3.681932E+01    6.384700E+01    5.929241E+01   -2.535114E+01   -3.732635E+01   -6.904578E+01 
   5.230474E+01   -1.316217E+02   -6.943343E+01   -4.779125E+01  -1.212635E+02   -8.434886E+01    6.164764E+01   -6.625845E+01    4.840019E+01   -1.043089E+02   -6.984810E+01    1.534329E+01    7.675498E+01    6.678757E+01   -4.159749E+01    6.137743E+01    4.841301E+01   -9.751533E+00   -1.963549E+01   -5.825352E+01 
   5.598298E+01   -1.487654E+02   -5.187898E+01   -3.839024E+01  -1.092641E+02   -8.422480E+01    5.828188E+01   -4.855945E+01    6.428178E+01   -1.146796E+02   -6.058682E+01   -2.893565E+00    6.238607E+01    3.807743E+01   -4.857362E+01    5.337396E+01    3.857917E+01    1.206151E+01   -1.000430E+00   -4.031118E+01 
   4.949835E+01   -1.602909E+02   -3.885794E+01   -3.541264E+01  -9.636275E+01   -8.602524E+01    4.896391E+01   -3.764873E+01    7.278155E+01   -1.164007E+02   -5.184030E+01   -1.879299E+01    4.354933E+01    5.985871E+00   -5.462550E+01    4.140004E+01    2.953022E+01    3.614924E+01    1.864395E+01   -2.037095E+01 
   3.173131E+01   -1.652989E+02   -2.771143E+01   -4.260841E+01  -8.684380E+01   -8.886669E+01    3.528639E+01   -3.469428E+01    7.408073E+01   -1.098167E+02   -4.454599E+01   -2.998413E+01    2.512399E+01   -2.373059E+01   -5.691197E+01    2.670507E+01    1.937039E+01    5.711509E+01    3.846014E+01   -4.635070E+00 
   2.231981E+00   -1.653586E+02   -1.588878E+01   -6.357524E+01  -8.319682E+01   -9.218241E+01    1.949755E+01   -3.971257E+01    6.918922E+01   -9.650870E+01   -3.826762E+01   -3.563434E+01    1.072009E+01   -4.638671E+01   -5.386587E+01    1.013623E+01    5.519495E+00    6.971919E+01    5.674715E+01    1.635437E+00 
  -3.820070E+01   -1.634079E+02   -1.505172E+00   -9.973728E+01  -8.568304E+01   -9.618479E+01    4.325121E+00   -5.131097E+01    5.976237E+01   -7.863876E+01   -3.144392E+01   -3.673462E+01    1.658095E+00   -5.920587E+01   -4.574385E+01   -7.640105E+00   -1.393812E+01    7.062153E+01    7.135748E+01   -4.051587E+00 
  -8.695952E+01   -1.622126E+02    1.635301E+01   -1.489107E+02  -9.265289E+01   -1.020556E+02   -7.369336E+00   -6.687830E+01    4.796221E+01   -5.810331E+01   -2.209156E+01   -3.582563E+01   -3.218919E+00   -6.170999E+01   -3.454290E+01   -2.583521E+01   -3.904992E+01    5.965631E+01    8.035682E+01   -2.037151E+01 
  -1.394519E+02   -1.630367E+02    3.757504E+01   -2.051891E+02  -1.014127E+02   -1.116881E+02   -1.309990E+01   -8.320676E+01    3.628940E+01   -3.585384E+01   -8.685642E+00   -3.628854E+01   -6.894196E+00   -5.565053E+01   -2.333404E+01   -4.338642E+01   -6.743450E+01    4.015582E+01    8.269462E+01   -4.230734E+01 
  -1.895595E+02   -1.650452E+02    6.115662E+01   -2.603221E+02  -1.092847E+02   -1.269709E+02   -1.134408E+01   -9.734072E+01    2.729239E+01   -1.169376E+01    9.129083E+00   -4.143352E+01   -1.294607E+01   -4.451760E+01   -1.526977E+01   -5.907424E+01   -9.462111E+01    1.813703E+01    7.864139E+01   -6.247365E+01 
